Date,Type du train,Axe,Départ,Arrivée,Nombre de trains programmés,Nombre de trains annulés,Nombre de trains ayant circulé,Nombre de trains en retard à l'arrivée,Régularité (avec erreurs),Régularité,Commentaires,Comparaison moyenne
2016-08,TGV,Atlantique,BORDEAUX ST JEAN,PARIS MONTPARNASSE,687,2,685,105,"84,4%","84,4%",Ce mois-ci l'OD a été touchée par plusieurs incidents: Le 8 : accident de personne au nord de Poitiers (31 TGV ; 2035mn) Le 8 : accident de personne à Libourne (16 TGV ; 746mn) Le 9 : heurt d’un animal sur la ligne grande vitesse (Massy) (16 TGV ; 430mn) Le 13 : Dérangements d’installation à Angoulême (13 TGV ; 850mn) Le 16 : Défaillance matérielle sur la ligne grande vitesse (St Arnoult) (11 TGV ; 405mn) Le 23 : suspicion de fuite de MD à Angoulême (24 TGV ; 1344mn) Le 27 : dérangement d’installation sur la ligne grande vitesse (St Cyr) (24 TGV ; 907mn) Le 30 : suspicion de fuite de MD à Luxé (28 TGV ; 1568mn) Le 31 : dérangement d’installation sur la ligne grande vitesse (St Léger) (23 TGV ; 410mn),moins bien
2016-08,Intercité,Atlantique Méd.,BORDEAUX ST JEAN,NANTES,93,2,91,17,"79,6%","79,6%",,moins bien
2016-08,Intercité,Atlantique Méd.,BORDEAUX ST JEAN,NICE,191,4,187,56,"68,6%","68,6%",,moins bien
2016-08,Intercité,Nord-Normandie,BOULOGNE,PARIS NORD,146,2,144,20,"84,9%","84,9%",,moins bien
2016-08,Intercité,Centre Sud-Ouest,BOURGES,PARIS AUSTERLITZ,122,1,121,36,"69,7%","69,7%",,moins bien
2016-08,TGV,Atlantique,BREST,PARIS MONTPARNASSE,248,0,248,21,"91,5%","91,5%","Ce mois-ci l'OD a été touchée par plusieurs incidents: Le 9 : heurt d’un animal sur la ligne grande vitesse (Massy) (16 TGV ; 430mn) Le 16 : Défaillance matérielle sur la ligne grande vitesse (St Arnoult) (11 TGV ; 405mn) Le 26 : conséquences des fortes chaleurs à Connerré (18 TGV ; 263mn) Le 26 : heurt d’un véhicule à St Pierre la Cour (69 TGV ; 4398mn) Le 27 : dérangement d’installation sur la ligne grande vitesse (St Cyr) (24 TGV ; 907mn) Le 31 : Début d’incendie sur un TER à Neau (16 TGV ; 355mn) Le 31 : dérangement d’installation sur la ligne grande vitesse (St Léger) (23 TGV ; 410mn) et plusieurs jours dans le mois, des mesures de limitation de vitesse  entre Connerré et Le Mans et à Rennes dues aux fortes chaleurs",mieux
2016-08,Intercité,Nord-Normandie,CAEN,PARIS ST LAZARE,193,0,193,18,"90,7%","90,7%",,mieux
2016-08,Intercité,Nord-Normandie,CAEN,TOURS,67,2,65,12,"79,1%","79,1%",,moins bien
2016-08,Intercité,Centre Sud-Ouest,CERBERE,PARIS AUSTERLITZ,13,0,13,1,"92,3%","92,3%",,mieux
2016-08,TGV,Sud-Est,CHAMBERY CHALLES LES EAUX,PARIS LYON,135,0,135,11,"91,9%","91,9%",,mieux
2016-08,Intercité,Nord-Normandie,CHERBOURG,PARIS ST LAZARE,222,3,219,13,"92,8%","92,8%",,mieux
2016-08,Intercité,Est Centre,CLERMONT FERRAND,BÉZIERS,24,0,24,2,"91,7%","91,7%",,mieux
2016-08,Intercité,Est Centre,CLERMONT FERRAND,PARIS BERCY,215,1,214,32,"84,7%","84,7%",,moins bien
2016-08,Intercité,Est Centre,CLERMONT FERRAND,NÎMES,19,0,19,3,"84,2%","84,2%",,moins bien
2016-08,TGV,Sud-Est,DIJON VILLE,PARIS LYON,426,0,426,28,"93,4%","93,4%",,mieux
2016-08,TGV,Nord,DOUAI,PARIS NORD,162,0,162,20,"87,7%","87,7%",,moins bien
2016-08,TGV,Nord,DUNKERQUE,PARIS NORD,230,1,229,17,"92,2%","92,2%",,mieux
2016-08,Intercité,Nord-Normandie,GRANVILLE,PARIS VAUGIRARD,163,1,162,19,"87,7%","87,7%",,moins bien
2016-08,TGV,Sud-Est,GRENOBLE,PARIS LYON,184,0,184,7,"96,2%","96,2%",,mieux
2016-08,Intercité,Atlantique Méd.,HENDAYE,TOULOUSE MATABIAU,124,0,124,10,"91,9%","91,9%",,mieux
2016-08,TGV,Atlantique,LA ROCHELLE VILLE,PARIS MONTPARNASSE,227,1,226,13,"93,8%","93,8%","Ce mois-ci l'OD a été touchée par plusieurs incidents: Le 8 : accident de personne au nord de Poitiers (31 TGV ; 2035mn) Le 9 : heurt d’un animal sur la ligne grande vitesse (Massy) (16 TGV ; 430mn) Le 16 : Défaillance matérielle sur la ligne grande vitesse (St Arnoult) (11 TGV ; 405mn) Le 27 : dérangement d’installation sur la ligne grande vitesse (St Cyr) (24 TGV ; 907mn) Le 31 : dérangement d’installation sur la ligne grande vitesse (St Léger) (23 TGV ; 410mn) et plusieurs jours dans le mois, des mesures de limitation de vitesse  entre Poitiers et la Rochelle dues aux fortes chaleurs",mieux
2016-08,TGV,Atlantique,LAVAL,PARIS MONTPARNASSE,223,1,222,14,"93,3%","93,3%",,mieux
2016-08,TGV,Sud-Est,LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,202,1,201,27,"86,1%","86,1%",,moins bien
2016-08,Intercité,Nord-Normandie,LE HAVRE,PARIS ST LAZARE,305,0,305,19,"93,8%","93,8%",,mieux
2016-08,TGV,Atlantique,LE MANS,PARIS MONTPARNASSE,455,1,454,61,"86,4%","86,4%",,moins bien
2016-08,TGV,Nord,LILLE,LYON PART DIEU,282,0,282,25,"91,1%","91,1%",,mieux
2016-08,TGV,Nord,LILLE,PARIS NORD,455,0,455,53,"88,4%","88,4%",,mieux
2016-08,TGV,Nord,LILLE,MARSEILLE ST CHARLES,214,0,214,31,"85,5%","85,5%",,moins bien
